,Brand,Product_name,Ingredients,Shampoo,Conditioner,Mask,Comb_cream,Gel,Beard,Product_type,X,Y
0,Skala Cosm\xe9ticos,Shampoo Shampoo Camomila,"\r\n                Aqua, Sodium Methyl 2-Sulfolaurate (and) Disodium 2-Sulfolaurate (and) Cetyl Betaine (and) Lauryl Betaine (and) Lauramidopropyl Betaine (and) Myristamidopropyl Betaine (and) Lauryl Lactyl Lactate (and) Dimethyl Lauramide/Myristamide, Cocamidopropyl Betaine, Polyquaternium-10, Parfum, Hydroxypropylguar Hydroxypropyltrimonium Chloride, PEG-160 Sorbitan Triisostearate, Chamomila Recutita Flower Extract, Tocopheryl Acetate, Panthenol, Disodium EDTA, Citric Acid, 2-Bromo-2-Nitropropane-1,3-Diol.            ",True,False,False,False,False,False,Shampoo,5.9861813,10.438908
1,Skala Cosm\xe9ticos,Shampoo Skala Genetiqs,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Polyquaternium-10, PEG-90M, Parfum, Guar Hydroxypropyltrimonium Chloride, Ammonium Chloride, Rhodiola Rosea Root Extract (and) Caesalpinia Spinosa Gum (and) Glycerin, Panthenol, Tocopheryl Acetate, Citric Acid, Disodium EDTA,  Methylchloroisothiazolinone (and) Methylisothiazolinone.            ",True,False,False,False,False,False,Shampoo,12.557233,7.708993
2,Skala Cosm\xe9ticos,Shampoo #MaisLisos,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Polyquaternium-10,  PEG-90M, Parfum, Guar Hydroxypropyltrimonium Chloride,  Hydrolyzed Rice Protein, Zea Mays (Corn) Starch, Hydrolyzed Wheat Protein (and) Hydrolyzed Soy Protein (and) Carbocysteine (and) Threonine (and) Serine (and) Glutamic Acid , Ammonium Chloride, Panthenol, Tocopheryl Acetate, Methylchloroisothiazolinone (and) Methylisothiazolinone,  Citric  Acid, Dissodium EDTA, Benzyl Salicylate, Butylphenyl Methylpropional, Hexyl Cinnamal, Linalool.            ",True,False,False,False,False,False,Shampoo,14.078345,11.245517
3,Skala Cosm\xe9ticos,Shampoo Abacate,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, PEG-90M, Ammonium Chloride, Polyquaternium-10, Parfum, Guar Hydroxypropyltrimonium Chloride, Disodium EDTA, Methylchloroisothiazolinone (and) Methylisothiazolinone, Citric Acid, Tocopheryl Acetate, Panthenol, Persea Gratissima Fruit Extract, Ricinus Communis(Castor) Seed Oil, Aloe Barbadensis Extract, Amyl Cinnamal, Benzyl Alcohol, Hexyl Cinnamal, CI42.090 (FD&C Blue n\xba1), CI 19.140 (FD&C Yellow n\xba5).            ",True,False,False,False,False,False,Shampoo,9.825456,6.6539087
4,Skala Cosm\xe9ticos,Shampoo Crespinho Divino,"\r\n                Aqua, Sodium Methyl 2-Sulfolaurate (and) Disodium 2-Sulfolaurate (and) Cetyl Betaine (and) Lauryl Betaine (and) Lauramidopropyl Betaine (and) Myristamidopropyl Betaine (and) Lauryl Lactyl Lactate (and) Dimethyl Lauramide/Myristamide, Cocamidopropyl Betaine, Polyquaternium-10, Guar Hydroxypropyltrimonium Chloride, Methylchloroisothiazolinone (and) Methylisothiazolinone, Parfum, PEG-160 Sorbitan Triisostearate, Linum Usitatissimum Seed Oil, Cocos Nucifera Oil, Tocopheryl Acetate, Panthenol, Disodium EDTA, Citric Acid.            ",True,False,False,False,False,False,Shampoo,7.7742634,9.967151
5,Skala Cosm\xe9ticos,Shampoo 12 em 1,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, PEG-90M, Ammonium Chloride, Polyquaternium-10, Parfum, Guar Hydroxypropyltrimonium Chloride, Argania Spinosa Kernel Oil, Persea Gratissima Fruit Extract, Hydrolyzed Corn Protein (and) Hydrolyzed Soy Protein (and) Hydrolyzed Wheat Protein, Laureth-2 (and) Myreth-2 (and) Octyldodecanol (and) Cetyl Lactate (and) Prunus Amygdalus Dulcis Oil (and) Zea Mays Oil (and) Gossypium Herbaceum Seed Oil (and) Helianthus Annuus Seed Oil (and) Triticum Vulgare Germ Oil (and) Persea Gratissima Oil (and) Phospholipids (and) Squalene (and) Glyceryl Linoleate (and) Glyceryl Linolenate (and) Tocopheryl Acetate, Astrocaryum Murumuru Seed Butter/Tocopherol, Oenocarpus Bataua Fruit Oil, Theobroma Cacao Extract, Hydrolyzed Rice Protein, Hydrolyzed Wheat Protein, Saccharum Officinarum Extract, Tocopheryl Acetate, Panthenol, Disodium EDTA, Citric Acid, Methylchloroisothiazolinone (and) Methylisothiazolinone, Hexyl Cinnamal. *Sem adi\xe7\xe3o de Cloreto de S\xf3dio            ",True,False,False,False,False,False,Shampoo,14.44657,3.0648096
6,Skala Cosm\xe9ticos,Shampoo Amido de Milho,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, PEG-90M, Ammonium Chloride, Polyquaternium-10, Parfum, Guar Hydroxypropyltrimonium Chloride, Methylchloroisothiazolinone (and) Methylisothiazolinone, Zea Mays (Corn) Starch, Cocos Nucifera Oil, Shea Butter Cetyl Esters,  Panthenol, Tocopheryl Acetate, Disodium EDTA, Citric Acid, Linalool.            ",True,False,False,False,False,False,Shampoo,11.423963,10.261274
7,Skala Cosm\xe9ticos,Shampoo Anticaspa Prebi\xf3tico 2 em 1,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Polyquaternium-10, Ammonium Chloride, Dimethicone, Propylene Glycol, Glycerin, Climbazole, Parfum, Guar Hydroxypropyltrimonium Chloride, Acrylates / C10-30 Alkyl Acrylate Crosspolymer, Methylchloroisothiazolinone (and) Methylisothiazolinone, Aminomethyl Propanol, Disodium EDTA, Laureth-2 (and) Myreth-2 (and) Octyldodecanol (and) Cetyl Lactate (and) Prunus Amygdalus Dulcis Oil (and) Zea Mays Oil (and) Gossypium Herbaceum Seed Oil (and) Helianthus Annuus Seed Oil (and) Triticum Vulgare Germ Oil (and) Persea Gratissima Oil (and) Phospholipids (and) Squalene (and) Glyceryl Linoleate (and) Glyceryl Linolenate (and) Tocopheryl Acetate, Glicerin (and) Methylpropanediol (and) Polysorbate 80 (and) 4-Terpineol (and) Caesalpinia Spinosa Gum (and) Salix  Alba  Bark  Extract,  Aloe Barbadendis Extract, Hydrolyzed Corn Protein (and) Hydrolyzed Soy Protein (and) Hydrolyzed Wheat Protein, Benzyl Salicylate.            ",True,False,False,False,False,False,Shampoo,11.493026,13.380107
8,Skala Cosm\xe9ticos,Shampoo Caju e Murumuru,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Polyquaternium-10, PEG-90M, Parfum, Guar Hydroxypropyltrimonium Chloride, Ammonium Chloride, Anacardium Occidentale (Cashew) Extract, Astrocaryum Murumuru Seed Butter (and) Tocopherol, Panthenol, Tocopheryl Acetate, Methylchloroisothiazolinone (and), Methylisothiazolinone, Citric Acid, Disodium EDTA. *Sem Adi\xe7\xe3o de Cloreto de S\xf3dio            ",True,False,False,False,False,False,Shampoo,12.39453,5.46127
9,Skala Cosm\xe9ticos,Shampoo Crespo Divino,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Polyquaternium-10,  PEG-90M, Parfum, Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Corn Protein (and)  Hydrolyzed Soy Protein (and) Hydrolyzed Wheat Protein, Porphyra Umbilicalis Extract (and) Caesalpinia Spinosa Gum,  Argania Spinosa Kernel Oil,  Ricinus Communis (Castor) Seed Oil, Ammonium Chloride, Panthenol, Tocopheryl Acetate, Methylchloroisothiazolinone (and) Methylisothiazolinone,  Citric Acid, Dissodium EDTA.            ",True,False,False,False,False,False,Shampoo,14.814814,6.8564143
10,Skala Cosm\xe9ticos,Shampoo Lim\xe3o Siciliano e Capim Santo,"\r\n                Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Polyquaternium-10, Cocamide MIPA, PEG-120  Methyl Glucose Dioleate, Parfum, PEG-90M, Trideceth-9 (and) PEG-5  Isononanoate,  Citrus Limon (Lemon) Fruit Extract,  Cymbopogon Schoenanthus Extract, Glicerin (and) Water (Aqua)(and) Sodium Benzoate,  Panthenol,  Tocopheryl Acetate, Ammonium Chloride, Methylchloroisothiazolinone (and) Methylisothiazolinone,  Citric Acid, Dissodium EDTA.            ",True,False,False,False,False,False,Shampoo,20.26745,7.3754125
